nama,ulasan,label,sentiment,score
Dewy Antriani,"Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9991971850395203}]",0.9991971850395203
Sulaiman Rhosyid,Minggu kemarin ngantar anak-anak wisata... Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz... …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8906897902488708}]",0.8906897902488708
Santo Ali,Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9992436170578003}]",0.9992436170578003
Kusuma Wati,"Bagus buat foto2.. sayangnya jalan menuju TKP masih kurang bagus. Juga fasum agar ditingkatnya shg pengunjung nyaman..
Semoga kedepan makin tertata..👍🏻👍🏻 …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9933536052703857}]",0.9933536052703857
christiyanto satriyo wibowo,Menurut aku cukup bagus untuk jalan2 ke sini. Cuman kitq ga tahu mana penarik karcis mana yg bukan. Kita naik mobil dicgat orang bawa karcis suruh bayar,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9821886420249939}]",0.9821886420249939
Atria Handono,"Kesini ketika buat video klip, ketika puasa, kebetulan mendung dan sempat hujan sebentar. Waktu itu kita ada yg menyertai dan diantar ke spot-spot terbaik yang jarang dipakai orang untuk spot photo atau video. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9850382208824158}]",0.9850382208824158
Emma erliana,"Bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal (gak mulus lah) itu saja kendalanya...semoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit Jaddih ke depannya ,",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8261616826057434}]",0.8261616826057434
Mayaria Desi,"tempat wisata ramah dikantong, hanya saja akses nya kurang nyaman, semoga mendapat perhatian & prioritas dr pemda setempat untuk akses menuju ke tmp wisata dan kedepannya makin tertata..👍🏻👍🏻 …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9745868444442749}]",0.9745868444442749
metom sh,"Goa pote, bangkalan
Msh di sebelahnya dg bukit jaddih juga.
Mungkin artinya goa putih, krn bekas galian gn kapur, jd pasti putih. Dan krn …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9974229335784912}]",0.9974229335784912
Mr EdiP,"Banyak yang bilang banyak pungli, mungkin iya,
Masuk kita di minta parkir 20.000 untuk mobil,
Kemudian di jalan kita di cegat dan di arahkan masuk ke gua masuk bayar lagi …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9964948296546936}]",0.9964948296546936
L4W SHARE,Sangat disayangkan potensi wisata madura yang seharusnya bisa menjadi ikon wisata bangkalan tetapi masih banyak pungli dan keamanan menuju lokasi membuat wisatawan berpikir 2x untuk berkunjung kesini. Saya sebagai warga Bangkalan juga cukup …,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9981045722961426}]",0.9981045722961426
Theeya Tea,"Pemandangannya cukup instgramable.. bagus buat foto foto, hanya jalan akses kurang mulus, biaya parkir 20 rb.. bayar biaya masuk 5000 per orang..
Tempatnya belum dikelola secara profesional masih dikelola penduduk setempat. Tempatny agak kurang terawat .tp kalo dikelola lebih baik lagi bisa jadi hidden gemsnya di madura",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9767287969589233}]",0.9767287969589233
RUSSELL. ID,"Pengalaman wisata alam yang sangat menyenangkan, kondisi masih lumayan sepi dikarenakan berkunjung di hari jumat.
Kurang penunjuk arah yg jelas. Semoga kedepannya pengelolaan semakin baik lagi",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9805917143821716}]",0.9805917143821716
vina krisna lestari,"Tempatnya menurut saya biasa aja utk viewnya tapi kalau bisa pakai jasa guide aja utk dapat foto-foto bagus viewnya malah jadi terlihat keren tempatnya 👍,, …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9992652535438538}]",0.9992652535438538
Muhammad Alvaro,"Tiket masuk roda 4 Rp20.000
Tiket pertandingan orangnya 5rb
Sudah waktunya untuk direnovasi.. Penampilan diperbaharui..",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9831493496894836}]",0.9831493496894836
annisa lathief,"Wisata Bekas Tambang kapur yang menarik dan eksotis, hanya saja untuk anak2 butuh pengawasan optimal dan lebih berhati2,, tempat parkir luas",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9947040677070618}]",0.9947040677070618
Hasby Asshiddiqi,"Bukit jeddih ini bukit kapur yang penambangannya masih aktif. Namun ada sisi yang sudah tidak beroperasi dan dijadikan wisata. Untuk view yang ditawarkan menarik. Untuk fasilitas ada warung makan, toilet (kurang tau keadaannya). Akses …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9873692393302917}]",0.9873692393302917
Deo Prasetyo,Pamandangannya bukit bekas hasil tambang kapur cakep banget (instagramable)..cm sayang aksesnya kesana harus melewati jalanan rusak (jadi akses kluar masuk truk tambang juga). Saya naik mobil dikenakan karcis 20ribu di akses masuk …,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9912721514701843}]",0.9912721514701843
Xaveria,"Sangat oke tempatnya igable banget! Cuman jalanan kesini rada jelek, dan mayan lah dari kluaran suramadu. Worth it tapii 👌🏼 …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.6630234122276306}]",0.6630234122276306
Sri Wahyuni,"Jalan masuk bisa dibilang parah bgt,
Karcis masuk bayar 2X, pertama 10k, kedua 5k per org,
Tp view nya indah menurut saya, masih terlihat alami, …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9949392080307007}]",0.9949392080307007
fathcul jannah,"Mmh karena ini penambangan, jadi tiap tahun seakan berubah ubah.
Kalau buat poto cocok pas panas terik. Tapi kalau untuk santai, cocoknya pas teduh pagi atau sorean. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.7292665839195251}]",0.7292665839195251
AR channel,"Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998252809047699}]",0.998252809047699
TITO AKDUA MUSIC OFFICIAL (KENDANG CILIK SKIL MASTER),"15menitan setelah keluar dari suramadu. Akses jln masih sempit lewat perkampungan.
Pemandangan sangat bagus bwt yg hobby foto"" sayang blm dikelola dgn baik,, akses …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.995762050151825}]",0.995762050151825
Yodika Yobellinda,"Jalan menuju bukit nya parah sihh, foto prewedding cocok. Masuk tiket 5.000 /org",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9982115030288696}]",0.9982115030288696
Ismi Yui,Bagus apalagi kalau cuaca mendukung dan datang di waktu yang tepat sekitar jam 8 atau 9 karena matahari sudah berada diatas tapi suhu tidak panas terik dan lebih menaikkan pesona alamnya,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996641874313354}]",0.9996641874313354
Yulia Fithri,"Kesini sudah 3 kali dengan rombongan teman dan keluarga. Tempatnya luas banget, cuma agak panas ya",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991656541824341}]",0.9991656541824341
Andi Surya Putra,"Kunjungan yang kesekian kalinya bersama keluarga besar, tempat tambang dan suasana bukit kapur putih tertata bekas tambang.
Goa poteh yg artistik dari hasil potongan penambang. Menghasilkan lubang goa yg menarik.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9901464581489563}]",0.9901464581489563
Berkah Abadi Satoto,"Bekas tambang kapur di banhkalan madura. Sangat aesthetic utk lokasi foto dan video. Tiket masuk murah hanya 5rb per orang.
Ada tour guide, anak muda sekitar .. mereka jg jago take foto dan video. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.994965136051178}]",0.994965136051178
Ichsan Nur Rizky,Pemandangannya bagus tetapi untuk kebersihan masih banyak sampah dimana-mana mungkin harus ditambah fasilitas tempat sampah,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9856446981430054}]",0.9856446981430054
Ferensya Feren,Masih ada pungli di beberapa lokasi. Pas masuk ditarik 10rb/motor. Mau masuk ke danau ditarik lagi 5rb/org,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9933596253395081}]",0.9933596253395081
Uswatun Hasanah,"Kunjungan tanggal 21 November 2021. Info tiket untuk pengendara sepeda motor dikenakan tarif Rp10.000,- per sepeda motor. Tiket masuk beda lagi, tiket masuk Rp5.000,- per orang. Saya sempat tanya ke pihak yang meminta tiket masuk, katanya …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9913693070411682}]",0.9913693070411682
